name,area,assembly_id
PK-1,Chitral,4
PK-2,Swat-I,4
PK-3,Swat-II,4
PK-4,Swat-III,4
PK-5,Swat-IV,4
PK-6,Swat-V,4
PK-7,Swat-VI,4
PK-8,Swat-VII,4
PK-9,Swat-VIII,4
PK-10,Upper Dir-I,4
PK-11,Upper Dir-II,4
PK-12,Upper Dir-III,4
PK-13,Lower Dir-I,4
PK-14,Lower Dir-II,4
PK-15,Lower Dir-III,4
PK-16,Lower Dir-IV,4
PK-17,Lower Dir-V,4
PK-18,Malakand/Protected Area - I,4
PK-19,Malakand/Protected Area - II,4
PK-20,Buner-I,4
PK-21,Buner-II,4
PK-22,Bunser-III,4
PK-23,Shangla-I,4
PK-24,Shangla-II,4
PK-25,Kohistan,4
PK-26,Kohistan Lower,4
PK-27,Kolai Palas Kohistan,4
PK-28,Battagram-I,4
PK-29,Battagram-II,4
PK-30,Mansehra-I,4
PK-31,Mansehra-II,4
PK-32,Mansehra-III,4
PK-33,Mansehra-IV,4
PK-34,Mansehra-V,4
PK-35,Torghar,4
PK-36,Abbotabad-I,4
PK-37,Abbotabad-II,4
PK-38,Abbotabad-III,4
PK-39,Abbotabad-IV,4
PK-40,Haripur-I,4
PK-41,Haripur-II,4
PK-42,Haripur-III,4
PK-43,Swabi-I,4
PK-44,Swabi-II,4
PK-45,Swabi-III,4
PK-46,Swabi-IV,4
PK-47,Swabi-V,4
PK-48,Mardan-I,4
PK-49,Mardan-II,4
PK-50,Mardan-III,4
PK-51,Mardan-IV,4
PK-52,Mardan-V,4
PK-53,Mardan-VI,4
PK-54,Mardan-VII,4
PK-55,Mardan-VIII,4
PK-56,Charsadda-I,4
PK-57,Charsadda-II,4
PK-58,Charsadda-III,4
PK-59,Charsadda-IV,4
PK-60,Charsadda-V,4
PK-61,Nowshehra-I,4
PK-62,Nowshehra-II,4
PK-63,Nowshehra-III,4
PK-64,Nowshehra-IV,4
PK-65,Nowshehra-V,4
PK-66,Peshawar-I,4
PK-67,Peshawar-II,4
PK-68,Peshawar-III,4
PK-69,Peshawar-IV,4
PK-70,Peshawar-V,4
PK-71,Peshawar-VI,4
PK-72,Peshawar-VII,4
PK-73,Peshawar-VIII,4
PK-74,Peshawar-IX,4
PK-75,Peshawar-X,4
PK-76,Peshawar-XI,4
PK-77,Peshawar-XII,4
PK-78,Peshawar-XIII,4
PK-79,Peshawar-XIV,4
PK-80,Kohat-I,4
PK-81,Kohat-II,4
PK-82,Kohat-III,4
PK-83,Hangu-I,4
PK-84,Hangu-II,4
PK-85,Karak-I,4
PK-86,Karak-II,4
PK-87,Bannu-I,4
PK-88,Bannu-II,4
PK-89,Bannu-III,4
PK-90,Bannu-IV,4
PK-91,Lakki Marwat-I,4
PK-92,Lakki Marwat-II,4
PK-93,Lakki Marwat-III,4
PK-94,Tank,4
PK-95,Dera Ismail Khan-I,4
PK-96,Dera Ismail Khan-II,4
PK-97,Dera Ismail Khan-III,4
PK-98,Dera Ismail Khan-IV,4
PK-99,Dera Ismail Khan-V,4