name,number
Mug,181
Wheat Bunch,322
Hut,144
Giraffe,122
Eagle,93
Bicycle,27
Boat,30
Chair,55
Tyre,309
Human Hand,143
Tumbler,303
Ink pot with Pen,146
Lantern,162
Aeroplane,2
Bulb,40
Cow,70
Sickle,246
Axe,14
Camel,49
Gate,117
Unity,311
Star,259
Crescent,72
Coat,61
Football,108
Two Sword,307
Energy Saver,99
Scale,232
Wheel,323
Takhti,274
Pen,195
Key,154
Ladder,161
Electric Pol,95
Fountain,111
Tent,282
Spectacles,252
Candle,50
Ostrich,189
Cap,52
Comb,64
Book,31
Aircraft,65
Turban,305
Bear,22
Kite,159
Saw,230
Swallow,267
Dolphin,85
Tree,295
Dove,88
Missile,175
Trophy,298
Hockey,136
Jharoo,150
Motorcycle,179
Tower,291
Torch,289
Ship,242
Lotus,168
Date Tree,78
Sun,265
Umberalla,310
Badge,16
Gavel,118
Plough,206
Fish,104
Tractor,292
Minar-e-Pakistan,174
Rose,226
Bus,43
Tiger,284
Helicopter,134
Stag,257
Rickshaw,219
Hukkah,141
Sword,270
Fist,105
Arrow,12
Victory Sign,312
Peacock,194
Iron,147
Spade,250
Table Lamp,272
Diamond,82
Bat,19
Batsman,20
Racket,214
Scissiors,234
Torch,186
"P",9
Balloons,17
Rope,225
Cup & Saucer,76
Oil Lamp,58
Tortoise,290
Deer,80
Car,53
Horse,137
Clock,60
Crown,75
Crane,71
Elephant,97
Bow,33
Cannon,51
Truck,300
Laptop,163
Aabshar(Water Fall),1
Electric Heater,96
Mobile Charger,176
Air Conditioner,3
Electric Water Pump,96
Mobile Phone,177
Air Cooler,4
Emergency Light,98
Mobile Sim,178
'A',5
Excavator,100
Mountain,180
'B',6
Fan,101
Nail Cutter,182
'G',7
Feather,102
Newspaper,183
'K',8
Fire Engine,103
Oil Stove,184
'S',10
Flamingo,106
Oil Tanker,185
Apple,11
Flower Pot,107
Onion,187
Audio Cassette,13
Fork,109
Orange,188
Baby Cot,15
Fort,110
OX,190
Basket,18
Frame,112
Papaya,191
Battery,21
Fridge,113
Parachute,192
Bed,23
Frying Pan,114
Parrot,193
Bee,24
Garland,115
Pencil,196
Bell,25
Gas Cylinder,116
Penguin,197
Bench,26
Generator,119
Persian Wheel,198
Binoculars,28
Geyser,120
Phole Gobhi,199
Black Board,29
Ghulail,121
Photostat Machine,200
Bottle,32
Goat,123
Pickup,201
Bowl,34
Gramophone,124
Pillow,202
Brick,35
Grate,125
Pineapple,203
Bridge,36
Green Chilli,126
Pitcher,204
Brinjal,37
Guitar,127
Planner,205
Brush,38
Gun,128
Plug,207
Bucket,39
Hammer,129
Pomegranate,208
Bullock Cart,41
Hand Pump,130
Pressure Cooker,209
Bunch of Grapes,42
Handbag,131
Printer,210
Butterfly,44
Hanger,132
Queen,211
Cage,45
Harmonium,133
Rabab,212
Cake,46
Hen,135
Rabbit,213
Calculator,47
Horse Shoe,138
Radio,215
Calendar,48
House,139
Railway Engine,216
Carrom Board,54
Hud Hud,140
Railway Track,217
Charpai,56
Human Eye,142
Revolver,218
Chimney,57
Ice Cream,145
Ring,220
Chitrali Cap,59
Iron Stand,148
Road Roller,221
Coconut,62
Jeep,149
Roller Coaster,222
Coins,63
Jug,151
Roller of Wood,223
Combat Tank,66
Kangaroo,152
Roots,224
Computer,67
Kettle,153
Round Table,227
Cooking Pot,68
Key Chain,155
Saddle,228
Corn,69
Key with Lock,156
Safety Helmet,229
Cricket Stumps,73
Khussa,157
Saxophone,231
Crocodile,74
King,158
School Bag,233
Curtain,77
Knife,160
Scooter,235
Deep Freezer,79
Leaf,164
Screw,236
Dhol,81
Letter Box,165
Screw Driver,237
Dice,83
Lighter,166
Sea Saw,238
Dish Antenna,84
Lock,167
Sewing Machine,239
Donkey Cart,86
Loudspeaker,169
Sharpener,240
Door,87
Lunch Box,170
Sheep,241
Dressing Table,89
Magnifying Glass,171
Shoes,243
Drill Machine,90
Match Box,172
Shower,244
Drum,91
Medal,173
Shuttle Cock,245
Duck,92
Mic,174
Sign Board,247
Slate,248
Tawa,278
Wall,315
Sofa,249
Teapot,279
Wash Basin,316
Sparrow,251
Telephone,280
Water Cooler,317
Spider,253
Televison,281
Water Melon,318
Spinning Wheel,254
Thermos,283
Water Tank,319
Spoon,255
Tonga,285
Water Turbin,320
Stabilizer,256
Tongs,286
Well,321
Stapler,258
Tooth Brush,287
Wheel Barrow,324
Stethoscope,260
Top,288
Wheel Chair,325
Still Camra,261
Traffic Signal,293
Whistle,326
Street Light,262
Transformer,294
Wind Mill,327
Study Table with Cha,263
Tricycle,296
Window,328
Suitcase,264
Trolley,297
Wrench,329
Sun Flower,266
Trowel(Krandi),299
Wrist Watch,330
Swing,268
T-Shirt,301
Swithes,269
Tulip,302
Table,271
Tunnel,304
Table Tennis Bat,273
Tv Trolley,306
Tambourine,275
Typewriter,308
Tandoor,276
Violin,313
Tap,277
Waist Coat,314