constituency_id,males,females
PB-1,0,0
PB-2,0,0
PB-3,0,0
PB-4,0,0
PB-5,0,0
PB-6,0,0
PB-7,0,0
PB-8,0,0
PB-9,0,0
PB-10,0,0
PB-11,0,0
PB-12,0,0
PB-13,0,0
PB-14,0,0
PB-15,0,0
PB-16,0,0
PB-17,0,0
PB-18,0,0
PB-19,0,0
PB-20,0,0
PB-21,0,0
PB-22,0,0
PB-23,0,0
PB-24,0,0
PB-25,0,0
PB-26,0,0
PB-27,0,0
PB-28,0,0
PB-29,0,0
PB-30,0,0
PB-31,0,0
PB-32,0,0
PB-33,0,0
PB-34,0,0
PB-35,0,0
PB-36,0,0
PB-37,0,0
PB-38,0,0
PB-39,0,0
PB-40,0,0
PB-41,0,0
PB-42,0,0
PB-43,0,0
PB-44,0,0
PB-45,0,0
PB-46,0,0
PB-47,0,0
PB-48,0,0
PB-49,0,0
PB-50,0,0
PB-51,0,0
PK-1,0,0
PK-2,0,0
PK-3,0,0
PK-4,0,0
PK-5,0,0
PK-6,0,0
PK-7,0,0
PK-8,0,0
PK-9,0,0
PK-10,0,0
PK-11,0,0
PK-12,0,0
PK-13,0,0
PK-14,0,0
PK-15,0,0
PK-16,0,0
PK-17,0,0
PK-18,0,0
PK-19,0,0
PK-20,0,0
PK-21,0,0
PK-22,0,0
PK-23,0,0
PK-24,0,0
PK-25,0,0
PK-26,0,0
PK-27,0,0
PK-28,0,0
PK-29,0,0
PK-30,0,0
PK-31,0,0
PK-32,0,0
PK-33,0,0
PK-34,0,0
PK-35,0,0
PK-36,0,0
PK-37,0,0
PK-38,0,0
PK-39,0,0
PK-40,0,0
PK-41,0,0
PK-42,0,0
PK-43,0,0
PK-44,0,0
PK-45,0,0
PK-46,0,0
PK-47,0,0
PK-48,0,0
PK-49,0,0
PK-50,0,0
PK-51,0,0
PK-52,0,0
PK-53,0,0
PK-54,0,0
PK-55,0,0
PK-56,0,0
PK-57,0,0
PK-58,0,0
PK-59,0,0
PK-60,0,0
PK-61,0,0
PK-62,0,0
PK-63,0,0
PK-64,0,0
PK-65,0,0
PK-66,0,0
PK-67,0,0
PK-68,0,0
PK-69,0,0
PK-70,0,0
PK-71,0,0
PK-72,0,0
PK-73,0,0
PK-74,0,0
PK-75,0,0
PK-76,0,0
PK-77,0,0
PK-78,0,0
PK-79,0,0
PK-80,0,0
PK-81,0,0
PK-82,0,0
PK-83,0,0
PK-84,0,0
PK-85,0,0
PK-86,0,0
PK-87,0,0
PK-88,0,0
PK-89,0,0
PK-90,0,0
PK-91,0,0
PK-92,0,0
PK-93,0,0
PK-94,0,0
PK-95,0,0
PK-96,0,0
PK-97,0,0
PK-98,0,0
PK-99,0,0
PS-1,0,0
PS-2,0,0
PS-3,0,0
PS-4,0,0
PS-5,0,0
PS-6,0,0
PS-7,0,0
PS-8,0,0
PS-9,0,0
PS-10,0,0
PS-11,0,0
PS-12,0,0
PS-13,0,0
PS-14,0,0
PS-15,0,0
PS-16,0,0
PS-17,0,0
PS-18,0,0
PS-19,0,0
PS-20,0,0
PS-21,0,0
PS-22,0,0
PS-23,0,0
PS-24,0,0
PS-25,0,0
PS-26,0,0
PS-27,0,0
PS-28,0,0
PS-29,0,0
PS-30,0,0
PS-31,0,0
PS-32,0,0
PS-33,0,0
PS-34,0,0
PS-35,0,0
PS-36,0,0
PS-37,0,0
PS-38,0,0
PS-39,0,0
PS-40,0,0
PS-41,0,0
PS-42,0,0
PS-43,0,0
PS-44,0,0
PS-45,0,0
PS-46,0,0
PS-47,0,0
PS-48,0,0
PS-49,0,0
PS-50,0,0
PS-51,0,0
PS-52,0,0
PS-53,0,0
PS-54,0,0
PS-55,0,0
PS-56,0,0
PS-57,0,0
PS-58,0,0
PS-59,0,0
PS-60,0,0
PS-61,0,0
PS-62,0,0
PS-63,0,0
PS-64,0,0
PS-65,0,0
PS-66,0,0
PS-67,0,0
PS-68,0,0
PS-69,0,0
PS-70,0,0
PS-71,0,0
PS-72,0,0
PS-73,0,0
PS-74,0,0
PS-75,0,0
PS-76,0,0
PS-77,0,0
PS-78,0,0
PS-79,0,0
PS-80,0,0
PS-81,0,0
PS-82,0,0
PS-83,0,0
PS-84,0,0
PS-85,0,0
PS-86,0,0
PS-87,0,0
PS-88,0,0
PS-89,0,0
PS-90,0,0
PS-91,0,0
PS-92,0,0
PS-93,0,0
PS-94,0,0
PS-95,0,0
PS-96,0,0
PS-97,0,0
PS-98,0,0
PS-99,0,0
PS-100,0,0
PS-101,0,0
PS-102,0,0
PS-103,0,0
PS-104,0,0
PS-105,0,0
PS-106,0,0
PS-107,0,0
PS-108,0,0
PS-109,0,0
PS-110,0,0
PS-111,0,0
PS-112,0,0
PS-113,0,0
PS-114,0,0
PS-115,0,0
PS-116,0,0
PS-117,0,0
PS-118,0,0
PS-119,0,0
PS-120,0,0
PS-121,0,0
PS-122,0,0
PS-123,0,0
PS-124,0,0
PS-125,0,0
PS-126,0,0
PS-127,0,0
PS-128,0,0
PS-129,0,0
PS-130,0,0
PP-1,0,0
PP-2,0,0
PP-3,0,0
PP-4,0,0
PP-5,0,0
PP-6,0,0
PP-7,0,0
PP-8,0,0
PP-9,0,0
PP-10,0,0
PP-11,0,0
PP-12,0,0
PP-13,0,0
PP-14,0,0
PP-15,0,0
PP-16,0,0
PP-17,0,0
PP-18,0,0
PP-19,0,0
PP-20,0,0
PP-21,0,0
PP-22,0,0
PP-23,0,0
PP-24,0,0
PP-25,0,0
PP-26,0,0
PP-27,0,0
PP-28,0,0
PP-29,0,0
PP-30,0,0
PP-31,0,0
PP-32,0,0
PP-33,0,0
PP-34,0,0
PP-35,0,0
PP-36,0,0
PP-37,0,0
PP-38,0,0
PP-39,0,0
PP-40,0,0
PP-41,0,0
PP-42,0,0
PP-43,0,0
PP-44,0,0
PP-45,0,0
PP-46,0,0
PP-47,0,0
PP-48,0,0
PP-49,0,0
PP-50,0,0
PP-51,0,0
PP-52,0,0
PP-53,0,0
PP-54,0,0
PP-55,0,0
PP-56,0,0
PP-57,0,0
PP-58,0,0
PP-59,0,0
PP-60,0,0
PP-61,0,0
PP-62,0,0
PP-63,0,0
PP-64,0,0
PP-65,0,0
PP-66,0,0
PP-67,0,0
PP-68,0,0
PP-69,0,0
PP-70,0,0
PP-71,0,0
PP-72,0,0
PP-73,0,0
PP-74,0,0
PP-75,0,0
PP-76,0,0
PP-77,0,0
PP-78,0,0
PP-79,0,0
PP-80,0,0
PP-81,0,0
PP-82,0,0
PP-83,0,0
PP-84,0,0
PP-85,0,0
PP-86,0,0
PP-87,0,0
PP-88,0,0
PP-89,0,0
PP-90,0,0
PP-91,0,0
PP-92,0,0
PP-93,0,0
PP-94,0,0
PP-95,0,0
PP-96,0,0
PP-97,0,0
PP-98,0,0
PP-99,0,0
PP-100,0,0
PP-101,0,0
PP-102,0,0
PP-103,0,0
PP-104,0,0
PP-105,0,0
PP-106,0,0
PP-107,0,0
PP-108,0,0
PP-109,0,0
PP-110,0,0
PP-111,0,0
PP-112,0,0
PP-113,0,0
PP-114,0,0
PP-115,0,0
PP-116,0,0
PP-117,0,0
PP-118,0,0
PP-119,0,0
PP-120,0,0
PP-121,0,0
PP-122,0,0
PP-123,0,0
PP-124,0,0
PP-125,0,0
PP-126,0,0
PP-127,0,0
PP-128,0,0
PP-129,0,0
PP-130,0,0
PP-131,0,0
PP-132,0,0
PP-133,0,0
PP-134,0,0
PP-135,0,0
PP-136,0,0
PP-137,0,0
PP-138,0,0
PP-139,0,0
PP-140,0,0
PP-141,0,0
PP-142,0,0
PP-143,0,0
PP-144,0,0
PP-145,0,0
PP-146,0,0
PP-147,0,0
PP-148,0,0
PP-149,0,0
PP-150,0,0
PP-151,0,0
PP-152,0,0
PP-153,0,0
PP-154,0,0
PP-155,0,0
PP-156,0,0
PP-157,0,0
PP-158,0,0
PP-159,0,0
PP-160,0,0
PP-161,0,0
PP-162,0,0
PP-163,0,0
PP-164,0,0
PP-165,0,0
PP-166,0,0
PP-167,0,0
PP-168,0,0
PP-169,0,0
PP-170,0,0
PP-171,0,0
PP-172,0,0
PP-173,0,0
PP-174,0,0
PP-175,0,0
PP-176,0,0
PP-177,0,0
PP-178,0,0
PP-179,0,0
PP-180,0,0
PP-181,0,0
PP-182,0,0
PP-183,0,0
PP-184,0,0
PP-185,0,0
PP-186,0,0
PP-187,0,0
PP-188,0,0
PP-189,0,0
PP-190,0,0
PP-191,0,0
PP-192,0,0
PP-193,0,0
PP-194,0,0
PP-195,0,0
PP-196,0,0
PP-197,0,0
PP-198,0,0
PP-199,0,0
PP-200,0,0
PP-201,0,0
PP-202,0,0
PP-203,0,0
PP-204,0,0
PP-205,0,0
PP-206,0,0
PP-207,0,0
PP-208,0,0
PP-209,0,0
PP-210,0,0
PP-211,0,0
PP-212,0,0
PP-213,0,0
PP-214,0,0
PP-215,0,0
PP-216,0,0
PP-217,0,0
PP-218,0,0
PP-219,0,0
PP-220,0,0
PP-221,0,0
PP-222,0,0
PP-223,0,0
PP-224,0,0
PP-225,0,0
PP-226,0,0
PP-227,0,0
PP-228,0,0
PP-229,0,0
PP-230,0,0
PP-231,0,0
PP-232,0,0
PP-233,0,0
PP-234,0,0
PP-235,0,0
PP-236,0,0
PP-237,0,0
PP-238,0,0
PP-239,0,0
PP-240,0,0
PP-241,0,0
PP-242,0,0
PP-243,0,0
PP-244,0,0
PP-245,0,0
PP-246,0,0
PP-247,0,0
PP-248,0,0
PP-249,0,0
PP-250,0,0
PP-251,0,0
PP-252,0,0
PP-253,0,0
PP-254,0,0
PP-255,0,0
PP-256,0,0
PP-257,0,0
PP-258,0,0
PP-259,0,0
PP-260,0,0
PP-261,0,0
PP-262,0,0
PP-263,0,0
PP-264,0,0
PP-265,0,0
PP-266,0,0
PP-267,0,0
PP-268,0,0
PP-269,0,0
PP-270,0,0
PP-271,0,0
PP-272,0,0
PP-273,0,0
PP-274,0,0
PP-275,0,0
PP-276,0,0
PP-277,0,0
PP-278,0,0
PP-279,0,0
PP-280,0,0
PP-281,0,0
PP-282,0,0
PP-283,0,0
PP-284,0,0
PP-285,0,0
PP-286,0,0
PP-287,0,0
PP-288,0,0
PP-289,0,0
PP-290,0,0
PP-291,0,0
PP-292,0,0
PP-293,0,0
PP-294,0,0
PP-295,0,0
PP-296,0,0
PP-297,0,0